Contig name,Number of restriction sites ,Contig length,Contig coverage,Hi-C contacts mapped to the same contigs,True identity
k141_7130,0,1975,10.6816,28,kudriavzevii
k141_10686,48,63906,81.619,17748,waltii
k141_1792,24,49947,79.1822,8130,uvarum
k141_8904,6,10862,225.353,6999,cerevisiae
k141_4457,6,10524,95.4101,3096,mikatae
k141_900,6,12100,62.0657,1928,paradoxus
k141_12467,42,91159,176.633,52870,castellii
k141_8028,15,17679,301.949,19961,cerevisiae
k141_10688,1,1182,159.944,593,kluyveri
k141_7131,3,4918,52.6768,1033,paradoxus
k141_7135,3,1489,37.4033,289,paradoxus
k141_12470,1,4745,84.2953,779,paradoxus
k141_13360,74,126532,50.2058,2696,gossypii
k141_2681,5,9263,79.6814,917,uvarum
k141_2683,3,3622,50.3188,514,paradoxus
k141_3572,7,13203,289.79,10711,cerevisiae
k141_2684,2,1263,15.372,31,kudriavzevii
k141_1805,4,12624,58.47,2157,paradoxus
k141_6239,21,33207,94.6236,12370,kluyveri
k141_8906,1,7386,3065.22,33587,cerevisiae
k141_2686,1,2667,10800.4,79428,paradoxus
k141_901,12,21700,52.0878,5794,paradoxus
k141_3575,10,15643,59.25,2732,paradoxus
k141_9801,15,25929,292.864,18417,cerevisiae
k141_13361,12,26848,75.75,4626,mikatae
k141_28,7,11455,117.937,3284,kluyveri
k141_13362,1,1064,31.7265,152,paradoxus
k141_29,2,2025,58.9227,357,paradoxus
k141_12476,23,34352,91.6741,6993,stipitis
k141_12478,3,2388,64.2891,415,paradoxus
k141_1815,4,3187,76.1989,782,mikatae
k141_13365,2,4803,243.177,4007,cerevisiae
k141_35,1,3608,90.2848,532,cerevisiae
k141_12480,1,4195,43.0744,524,paradoxus
k141_1819,6,8755,60.5163,1405,paradoxus
k141_6243,21,36028,94.2435,9647,castellii
k141_1821,4,10176,101.664,3057,kluyveri
k141_6244,4,5722,113.962,818,uvarum
k141_3578,4,10107,299.672,10718,cerevisiae
k141_1822,1,2970,83.0078,258,stipitis
k141_39,9,5765,77.3067,1988,mikatae
k141_12481,19,29702,274.987,19459,cerevisiae
k141_1823,0,3604,56.4815,683,paradoxus
k141_12483,2,4482,108.792,1241,kluyveri
k141_40,2,6004,244.217,2739,cerevisiae
k141_3587,5,11361,84.6074,1480,mikatae
k141_11572,54,61449,72.3646,11601,uvarum
k141_6248,6,17545,77.7461,2078,uvarum
k141_8907,8,15503,81.6178,2073,mikatae
k141_1825,4,10063,148.653,5541,cerevisiae
k141_6250,2,7440,80.059,1888,mikatae
k141_8030,24,51523,79.7829,9974,mikatae
k141_12484,12,20902,83.9695,2721,uvarum
k141_7138,30,47469,100.771,19876,kluyveri
k141_7140,1,4809,71.748,991,mikatae
k141_6254,9,14669,106.119,4427,paradoxus
k141_12486,9,8399,64.5295,2604,paradoxus
k141_7141,1,1644,64.4277,370,paradoxus
k141_41,1,4867,316.702,3666,cerevisiae
k141_902,16,25701,61.6486,4287,paradoxus
k141_42,0,3242,170.201,1912,cerevisiae
k141_7143,2,6502,77.3139,518,uvarum
k141_12488,5,7883,62.0094,1969,paradoxus
k141_1826,2,4011,109.413,839,castellii
k141_6258,3,9590,83.1855,1518,mikatae
k141_13367,15,34964,90.4868,8427,castellii
k141_6259,2,3116,58.7117,509,paradoxus
k141_13370,1,1213,65.444,234,paradoxus
k141_6260,1,1029,13.5472,10,kudriavzevii
k141_8911,5,11482,88.0564,2165,waltii
k141_12491,3,7273,320.894,1736,uvarum
k141_6263,2,5197,92.5445,918,uvarum
k141_12494,5,2266,82.2391,611,stipitis
k141_6264,1,1090,10.6511,30,kudriavzevii
k141_13371,5,10531,80.7517,2979,uvarum
k141_13373,0,1586,8.34471,30,kudriavzevii
k141_12497,5,5996,346.322,5080,cerevisiae
k141_1831,6,18708,48.0569,401,gossypii
k141_13376,2,3431,88.8985,557,cerevisiae
k141_12499,2,1986,12.5071,43,kudriavzevii
k141_4460,55,76508,80.0379,18760,mikatae
k141_908,6,16499,276.352,12955,cerevisiae
k141_5366,38,59507,128.592,22341,castellii
k141_7144,5,13343,258.856,6582,cerevisiae
k141_51,3,9725,272.116,5415,cerevisiae
k141_5370,0,1903,2156.31,10874,cerevisiae
k141_1832,5,13538,59.7151,2465,paradoxus
k141_6268,16,21619,54.466,3290,paradoxus
k141_6269,3,7224,74.1733,1491,mikatae
k141_7146,23,22512,100.897,6571,mikatae
k141_11575,27,47380,97.395,14141,castellii
k141_11576,3,4148,67.1341,634,paradoxus
k141_7148,13,11143,160.513,6607,waltii
k141_910,9,23814,275.154,18274,cerevisiae
k141_54,7,9430,55.1314,1583,paradoxus
k141_13377,22,30852,76.3757,5558,uvarum
k141_5376,9,11470,162.344,4610,kluyveri
k141_8031,29,50865,292.801,33330,cerevisiae
k141_3588,36,49987,82.5805,11805,mikatae
k141_3590,1,1157,11.1619,11,kudriavzevii
k141_8032,6,6852,46.6573,1314,paradoxus
k141_1835,8,15162,285.291,9766,cerevisiae
k141_8034,1,1409,174.293,2213,kluyveri
k141_13378,8,13568,52.2951,2253,paradoxus
k141_13380,1,3628,579.876,2294,uvarum
k141_8035,3,6895,285.851,6867,cerevisiae
k141_7155,4,5852,59.187,1134,paradoxus
k141_8040,1,1388,164.775,581,paradoxus
k141_8041,0,1037,319.097,98,paradoxus
k141_2692,49,89176,48.4981,1531,gossypii
k141_11579,3,11143,83.1497,1915,mikatae
k141_6276,14,21471,83.0832,3102,uvarum
k141_912,12,13669,324.792,10745,cerevisiae
k141_12501,18,38294,465.497,88358,mikatae
k141_12502,1,1629,88.9148,47,uvarum
k141_57,9,13628,86.5403,2162,uvarum
k141_12504,1,1307,260.95,139,uvarum
k141_918,0,1265,57.0287,132,paradoxus
k141_8047,2,3768,77.1926,304,uvarum
k141_8054,0,1832,97.547,487,mikatae
k141_8057,2,1279,62.5483,505,kluyveri
k141_8059,2,1445,55.1073,32,gossypii
k141_7156,18,23631,48.2122,542,gossypii
k141_7158,4,5763,200.103,2396,wickerhamii
k141_11583,13,26393,288.362,22209,cerevisiae
k141_11588,0,1022,139.478,305,mikatae
k141_1841,26,36225,62.9455,6498,wickerhamii
k141_3591,27,46239,90.065,10647,mikatae
k141_2694,16,31343,70.725,8741,paradoxus
k141_8068,3,1343,14.9891,29,kudriavzevii
k141_6278,14,32581,87.1623,6316,mikatae
k141_6280,1,3000,12.2575,47,kudriavzevii
k141_3595,0,1595,14.7896,34,kudriavzevii
k141_12506,24,34788,98.0528,10264,kluyveri
k141_13381,70,111522,82.307,30568,waltii
k141_12509,7,13993,59.7299,2202,paradoxus
k141_4461,59,98541,94.4137,27919,castellii
k141_10689,70,108441,102.287,21406,uvarum
k141_12510,6,8680,82.3864,1566,mikatae
k141_4463,13,15356,57.8851,2716,paradoxus
k141_1842,29,33260,82.9918,6255,mikatae
k141_1844,1,2230,14.8106,59,kudriavzevii
k141_921,36,62838,78.7534,11762,wickerhamii
k141_924,4,1443,12.8237,115,kudriavzevii
k141_925,0,1792,257.618,825,Unmapped
k141_4465,5,9453,64.6456,1367,paradoxus
k141_8069,21,38420,75.9574,7203,mikatae
k141_12519,0,1133,280.28,1159,mikatae
k141_8073,1,7221,55.821,14773,pastoris
k141_12523,0,4609,2926.62,197468,cerevisiae
k141_8074,4,6965,379.583,3632,cerevisiae
k141_6282,38,50025,78.4234,11842,mikatae
k141_12525,3,8086,58.3454,1333,paradoxus
k141_929,3,4086,88.6997,1150,mikatae
k141_1846,9,10112,127.779,2875,kluyveri
k141_1847,0,1269,485.874,89,uvarum
k141_10690,9,23138,89.2124,7326,mikatae
k141_1848,2,2600,122.228,1220,kluyveri
k141_1850,1,1721,72.6041,162,uvarum
k141_1852,8,11326,52.0846,2625,paradoxus
k141_8080,7,9125,382.829,9886,cerevisiae
k141_3596,32,61124,192.991,26897,cerevisiae
k141_8082,1,4455,68.6613,652,paradoxus
k141_8086,4,6368,61.671,1694,paradoxus
k141_8087,0,3518,644.184,11376,cerevisiae
k141_3598,9,18045,98.0899,4600,castellii
k141_13384,79,129430,75.3746,37732,lactis
k141_1854,8,12048,87.7899,2246,paradoxus
k141_13385,2,1342,90.9857,252,kluyveri
k141_13387,1,1330,103.229,177,kluyveri
k141_13388,1,1053,10.0975,28,kudriavzevii
k141_13389,10,12134,104.291,6136,kluyveri
k141_11589,91,107816,82.8528,31004,waltii
k141_3599,4,3490,57.0814,566,paradoxus
k141_12526,24,49874,111.09,12708,mikatae
k141_12527,4,6431,59.631,1235,paradoxus
k141_3601,15,24108,75.3619,4489,uvarum
k141_13390,14,30284,60.5628,4927,paradoxus
k141_4466,45,68384,303.146,59951,cerevisiae
k141_10691,21,38610,285.625,24324,cerevisiae
k141_938,34,64795,174.924,28088,cerevisiae
k141_943,3,4634,24.8296,175,kudriavzevii
k141_13391,18,22911,75.9312,4433,uvarum
k141_6283,48,76496,88.1715,18352,stipitis
k141_13397,2,3491,56.3113,503,paradoxus
k141_12531,1,3237,89.8695,629,uvarum
k141_1855,19,37281,108.713,13369,castellii
k141_3605,7,11447,72.3054,2366,mikatae
k141_12533,5,8479,55.563,1261,paradoxus
k141_1859,7,7648,81.4172,1621,mikatae
k141_8088,28,55544,76.8418,15224,lactis
k141_12534,9,17858,83.2787,3690,mikatae
k141_6293,0,2444,56.6988,328,paradoxus
k141_944,12,16769,165.312,7076,kluyveri
k141_947,4,8937,120.962,1442,paradoxus
k141_4480,22,34084,81.3433,9357,mikatae
k141_948,3,6384,103.798,1399,mikatae
k141_3606,22,30679,105.231,11655,kluyveri
k141_12535,17,23485,169.056,9595,cerevisiae
k141_953,10,12123,124.79,3838,kluyveri
k141_6296,20,29280,85.7413,5231,stipitis
k141_11592,33,67069,101.882,14025,castellii
k141_4483,8,11284,94.8999,3533,castellii
k141_11593,2,1067,12.265,37,kudriavzevii
k141_11594,0,2060,12.0131,30,kudriavzevii
k141_6297,7,9103,61.185,1660,paradoxus
k141_4485,5,8622,52.7531,1769,paradoxus
k141_11604,0,1011,11.6643,3,kudriavzevii
k141_4487,0,3851,891.874,3359,stipitis
k141_4491,0,1419,12.7155,17,kudriavzevii
k141_3610,18,28783,99.616,11279,kluyveri
k141_3612,5,12882,55.7881,1866,paradoxus
k141_11607,2,5137,422.536,3352,cerevisiae
k141_4497,0,1213,11.5889,12,kudriavzevii
k141_12539,8,23753,49.8851,403,gossypii
k141_13400,79,142400,73.9976,40656,lactis
k141_954,13,18806,58.0468,2971,paradoxus
k141_12540,0,2160,54.3512,305,paradoxus
k141_13401,2,2344,47.1541,958,paradoxus
k141_955,2,1927,11.9347,96,kudriavzevii
k141_4498,2,5876,60.8765,727,paradoxus
k141_66,96,143368,90.4947,30986,stipitis
k141_957,1,1302,12.5035,14,kudriavzevii
k141_68,3,4201,359.266,2806,cerevisiae
k141_70,1,1310,211.439,544,cerevisiae
k141_13405,2,6453,52.841,999,paradoxus
k141_6301,13,26214,255.879,16310,cerevisiae
k141_11611,15,17949,70.9285,3270,uvarum
k141_3614,1,2907,411.628,1098,cerevisiae
k141_958,8,18725,99.3176,4907,kluyveri
k141_3617,3,5767,48.6863,730,paradoxus
k141_8913,127,198716,83.0023,58020,waltii
k141_5377,138,272512,94.8077,65628,castellii
k141_1861,55,86392,82.3123,19577,mikatae
k141_1862,2,1130,13.7847,45,kudriavzevii
k141_4499,22,42688,229.841,21773,cerevisiae
k141_1863,1,1526,318.044,185,cerevisiae
k141_1864,1,1524,236.828,389,cerevisiae
k141_4500,2,1791,14.4065,32,kudriavzevii
k141_5384,2,1096,188.921,129,paradoxus
k141_4503,0,1315,19.394,19,kudriavzevii
k141_5393,2,1010,53.2756,1033,gossypii
k141_5395,3,1353,14.9643,156,kudriavzevii
k141_71,4,10195,60.3631,1272,paradoxus
k141_6303,4,11207,58.6323,1990,paradoxus
k141_13408,25,45502,91.3068,13553,castellii
k141_8914,1,1527,11.0399,19,kudriavzevii
k141_8915,1,1549,15.2323,22,kudriavzevii
k141_13409,3,3811,106.62,3113,kluyveri
k141_959,10,19043,96.727,5226,paradoxus
k141_13410,2,4488,108.526,737,stipitis
k141_8916,6,6921,87.1252,921,uvarum
k141_13411,0,2214,13.2485,28,kudriavzevii
k141_10693,37,65941,79.0888,13036,mikatae
k141_5400,1,1206,1279.96,651,stipitis
k141_10694,0,1213,12.8194,11,kudriavzevii
k141_10695,3,2018,100.772,193,uvarum
k141_10698,1,2900,1198.19,61678,wickerhamii
k141_12543,10,24500,315.104,15900,cerevisiae
k141_74,3,3569,256.346,2144,cerevisiae
k141_12544,1,2390,81.5304,268,paradoxus
k141_13413,5,17607,86.7148,2242,stipitis
k141_2696,144,263327,74.64,51669,wickerhamii
k141_13414,0,1968,420.336,646,stipitis
k141_3621,23,27572,75.0276,4717,uvarum
k141_13415,5,4608,67.6889,1282,paradoxus
k141_8089,66,111781,75.4644,30782,lactis
k141_13416,5,9113,85.4744,1224,uvarum
k141_9807,238,353345,86.6161,85463,stipitis
k141_5402,8,21987,92.0419,4444,castellii
k141_4504,35,65016,106.548,25478,kluyveri
k141_13418,5,7914,52.7897,1006,paradoxus
k141_8924,2,4281,201.192,2637,cerevisiae
k141_8925,0,1192,275.698,475,kluyveri
k141_11612,46,48605,91.5138,20488,waltii
k141_8932,1,1085,10.6952,18,kudriavzevii
k141_960,12,16007,81.7675,3746,mikatae
k141_4506,6,9044,46.7368,1308,paradoxus
k141_11614,6,4684,45.5653,964,paradoxus
k141_11615,4,5247,141.632,2051,kluyveri
k141_4508,3,9675,65.5887,1263,paradoxus
k141_1865,32,31339,82.8044,7504,stipitis
k141_13419,3,3708,54.6501,755,paradoxus
k141_1866,3,1217,14.1987,14,kudriavzevii
k141_2702,35,44782,88.4106,12297,mikatae
k141_1867,0,2194,1012.62,4441,cerevisiae
k141_3628,7,10540,52.7812,2203,paradoxus
k141_3630,0,1036,87.4334,68,mikatae
k141_9811,2,2290,77.2075,444,uvarum
k141_4510,3,7679,89.8086,1131,mikatae
k141_3631,5,1240,257.264,142,cerevisiae
k141_3632,8,1423,150.561,119,cerevisiae
k141_4512,2,4504,109.661,587,uvarum
k141_5403,11,11159,232.27,8191,kluyveri
k141_4514,3,3170,47.5897,783,paradoxus
k141_4515,2,1182,14.5795,37,kudriavzevii
k141_5408,0,4545,54.7795,50,gossypii
k141_4520,1,4171,58.0868,635,paradoxus
k141_4521,2,2306,59.2092,866,paradoxus
k141_2704,13,23510,103.625,8844,kluyveri
k141_77,25,32410,103.151,14481,kluyveri
k141_11617,12,5325,240.529,1896,waltii
k141_2706,1,3314,107.379,766,kluyveri
k141_4526,0,3449,1526.3,13757,cerevisiae
k141_13422,10,23986,81.3867,5284,mikatae
k141_13429,4,1782,198.737,358,uvarum
k141_9819,6,10098,96.4965,2240,mikatae
k141_5413,0,1047,163.696,367,cerevisiae
k141_7159,180,302985,83.4249,68122,stipitis
k141_9822,3,4275,96.3852,1726,kluyveri
k141_2708,8,23752,56.4686,3699,paradoxus
k141_969,7,16603,127.758,6190,kluyveri
k141_8091,30,46285,301.366,43370,cerevisiae
k141_10699,42,65019,250.293,44622,cerevisiae
k141_10700,0,1961,1386.92,19788,Unmapped
k141_1870,17,25787,87.4136,8405,waltii
k141_12550,33,52627,261.769,68520,uvarum
k141_9824,8,7844,88.1379,1092,uvarum
k141_7161,6,9306,275.651,5395,cerevisiae
k141_13432,13,15759,95.4882,3684,castellii
k141_7165,2,1301,85.3762,658,uvarum
k141_9828,2,1261,259.095,3809,cerevisiae
k141_11618,18,37644,56.4931,6346,paradoxus
k141_7173,0,1194,11.8113,25,kudriavzevii
k141_7174,0,1190,816.545,4249,cerevisiae
k141_11619,2,8158,287.711,5719,cerevisiae
k141_83,25,50444,286.574,40361,cerevisiae
k141_5415,19,20441,86.8303,4419,stipitis
k141_10703,8,19687,59.8003,3433,paradoxus
k141_1871,13,17460,92.9049,5468,castellii
k141_7175,9,11865,272.696,7745,cerevisiae
k141_7176,0,1958,870.746,11088,cerevisiae
k141_13435,16,21051,103.546,8346,kluyveri
k141_86,0,4057,91.9846,582,mikatae
k141_13436,0,1316,158.224,390,cerevisiae
k141_13437,1,3060,67.0168,341,paradoxus
k141_1873,1,2970,76.1181,394,paradoxus
k141_1875,3,4282,105.952,3199,castellii
k141_3638,46,79647,79.0756,19269,mikatae
k141_3642,0,1001,123.736,46,kudriavzevii
k141_9831,17,31236,270.818,18858,cerevisiae
k141_970,33,46361,150.508,24486,cerevisiae
k141_3650,1,1123,12.3176,37,kudriavzevii
k141_11621,24,51100,85.1366,13188,mikatae
k141_7177,21,42126,93.2195,15935,castellii
k141_11622,1,1451,17.7487,1355,pastoris
k141_2714,91,156825,81.4716,31871,mikatae
k141_2717,4,10447,83.1734,1419,uvarum
k141_3653,8,13392,71.9986,2125,wickerhamii
k141_2718,0,1878,9.71701,30,kudriavzevii
k141_6305,65,101450,89.0953,20092,stipitis
k141_6306,5,4052,142.333,1607,stipitis
k141_10705,35,57149,301.695,32961,cerevisiae
k141_10706,0,1034,10.9344,18,kudriavzevii
k141_1877,17,21737,87.4669,3984,uvarum
k141_10713,4,4740,86.4068,640,uvarum
k141_10714,1,1516,60.6947,200,paradoxus
k141_7178,9,13393,80.3711,2497,mikatae
k141_9837,14,23043,102.178,10887,kluyveri
k141_9838,0,1438,90.7446,252,uvarum
k141_2722,24,43611,76.9915,6540,uvarum
k141_7179,13,23144,217.313,10697,cerevisiae
k141_7180,1,1156,830.717,558,cerevisiae
k141_88,37,77637,94.504,19968,castellii
k141_3654,9,26633,131.358,9540,kluyveri
k141_3656,1,1334,196.421,758,cerevisiae
k141_3657,3,3647,127.747,1080,kluyveri
k141_3658,3,5146,52.8323,676,paradoxus
k141_1881,15,21994,148.125,12278,paradoxus
k141_971,24,41048,79.9082,8644,mikatae
k141_93,3,2909,130.376,830,kluyveri
k141_7184,6,6575,63.6893,1803,paradoxus
k141_2723,32,50569,48.2432,1197,gossypii
k141_96,8,18635,57.7441,4399,paradoxus
k141_12551,54,80228,99.3389,29723,kluyveri
k141_3659,13,18034,319.984,12786,cerevisiae
k141_12553,3,2036,2928.08,68951,waltii
k141_3660,3,3326,164.001,516,cerevisiae
k141_10715,15,34762,270.031,21551,cerevisiae
k141_10716,1,1775,102.16,321,uvarum
k141_3667,0,1494,47907.9,148535,cerevisiae
k141_8093,95,139402,86.9365,39044,waltii
k141_8096,4,5786,89.1597,1675,castellii
k141_8098,1,2067,82.9259,403,paradoxus
k141_6312,20,36858,80.0552,5471,uvarum
k141_6315,1,2615,56.1655,357,paradoxus
k141_97,3,6665,105.126,2115,kluyveri
k141_3670,2,7892,55.024,1160,paradoxus
k141_99,5,9761,100.588,2750,kluyveri
k141_4530,197,348851,48.1163,6723,gossypii
k141_100,0,1925,377.575,291,stipitis
k141_12554,5,12005,86.2259,2305,stipitis
k141_101,2,4198,63.3817,664,paradoxus
k141_12555,4,5628,70.1937,1069,paradoxus
k141_102,1,2676,120.218,687,kluyveri
k141_104,5,4729,250.814,3830,cerevisiae
k141_8103,3,5788,105.162,1976,kluyveri
k141_4534,3,13092,80.3008,2404,mikatae
k141_4536,1,3574,166.289,176,gossypii
k141_10720,13,25400,212.34,15880,cerevisiae
k141_10721,3,2081,52.6696,190,paradoxus
k141_10722,4,2563,13.1836,24,kudriavzevii
k141_10723,0,3016,57.4421,415,paradoxus
k141_1887,16,27853,100.044,11450,kluyveri
k141_1888,1,2087,74.731,413,mikatae
k141_1889,0,1172,88.2955,342,mikatae
k141_2725,56,99255,84.521,18310,uvarum
k141_3671,20,26181,54.5216,4056,paradoxus
k141_12567,1,4825,72.1568,2376,lactis
k141_12568,1,1829,11.1483,53,kudriavzevii
k141_9842,30,55437,288.304,47106,cerevisiae
k141_6318,13,24642,91.8497,8044,castellii
k141_6319,2,2439,58.5924,448,mikatae
k141_6320,1,5394,61.1783,995,lactis
k141_1890,16,21488,147.414,6658,paradoxus
k141_9846,8,11102,118.106,2782,cerevisiae
k141_10724,20,40883,87.5282,7714,mikatae
k141_2727,30,56311,269.313,35607,cerevisiae
k141_105,23,30726,261.705,23813,cerevisiae
k141_3672,13,27982,305.162,15906,cerevisiae
k141_3674,1,2451,14.8779,72,kudriavzevii
k141_4543,68,89055,96.5338,35183,kluyveri
k141_4544,2,2882,115.877,536,kluyveri
k141_106,8,11750,59.6654,3630,paradoxus
k141_3675,8,9811,78.6466,1507,uvarum
k141_5417,82,127544,73.4159,38749,lactis
k141_5418,4,7394,65.9572,1264,paradoxus
k141_2728,2,1445,12.2301,27,kudriavzevii
k141_10726,4,6618,60.1243,1188,paradoxus
k141_8106,33,63014,69.3105,17277,lactis
k141_5422,1,1098,16.9167,13,kudriavzevii
k141_4556,2,3490,42.1249,54,gossypii
k141_8107,1,8519,59.7314,845,paradoxus
k141_8112,1,1606,54.2974,223,paradoxus
k141_10731,1,5017,341.367,2270,cerevisiae
k141_6325,18,26997,79.2497,5321,uvarum
k141_4559,12,14595,82.1734,4313,mikatae
k141_10734,6,15462,78.4628,3414,mikatae
k141_3676,12,28936,294.618,23606,cerevisiae
k141_3677,4,5921,141.759,1244,cerevisiae
k141_112,21,36397,311.11,26319,cerevisiae
k141_113,3,2690,11.1098,54,kudriavzevii
k141_8114,19,21321,75.5406,5902,waltii
k141_9848,35,55220,100.901,19121,kluyveri
k141_8115,2,3100,58.4258,401,paradoxus
k141_7189,93,139924,82.2567,29861,wickerhamii
k141_3678,2,1540,9.45755,34,kudriavzevii
k141_3680,0,2106,90.657,292,mikatae
k141_3684,0,1153,24.1306,52,kudriavzevii
k141_11623,104,190987,93.9673,41025,stipitis
k141_11625,2,3086,57.439,451,paradoxus
k141_13438,121,232859,74.5764,65674,lactis
k141_3694,15,11527,88.3993,3516,paradoxus
k141_3695,1,1053,13.3367,14,kudriavzevii
k141_13441,0,1350,791.119,1537,cerevisiae
k141_2733,35,52076,78.4497,12207,mikatae
k141_7191,1,7219,368.335,5564,cerevisiae
k141_2735,4,5855,60.101,1288,paradoxus
k141_7195,0,1140,443.443,2533,Unmapped
k141_2738,11,14172,88.8084,2182,mikatae
k141_9853,20,34244,79.1909,4626,uvarum
k141_1899,46,77979,48.7495,1460,gossypii
k141_1900,1,2231,90.1836,1258,kluyveri
k141_9854,1,1431,11.1202,14,kudriavzevii
k141_7199,18,24321,75.4812,3290,uvarum
k141_119,32,51439,87.4471,15664,waltii
k141_121,1,2848,118.223,614,kluyveri
k141_7203,8,8216,99.7153,5516,kluyveri
k141_122,2,1767,10.4842,76,kudriavzevii
k141_7206,1,1181,14.5005,16,kudriavzevii
k141_123,0,2135,123.339,863,kluyveri
k141_11627,19,43881,94.9802,10331,castellii
k141_6326,67,90108,85.1772,29140,waltii
k141_4560,58,94467,86.5965,24609,stipitis
k141_4565,0,1517,12.771,31,kudriavzevii
k141_1901,19,43333,85.7929,10581,mikatae
k141_124,7,13565,100.51,1919,stipitis
k141_977,103,175582,90.9322,45611,castellii
k141_4569,0,1107,9.01672,25,kudriavzevii
k141_979,11,8849,83.7539,4178,castellii
k141_10735,71,103920,72.5152,31946,lactis
k141_2741,44,75756,75.7448,14374,uvarum
k141_7207,18,30315,79.7083,8037,mikatae
k141_9855,33,52882,74.7071,9040,uvarum
k141_4571,17,22619,105.61,13175,kluyveri
k141_125,9,21167,257.915,16436,cerevisiae
k141_126,2,3665,50.81,557,paradoxus
k141_2742,3,6180,55.2846,818,paradoxus
k141_2744,1,1899,10.9886,25,kudriavzevii
k141_7208,8,19153,235.362,10018,cerevisiae
k141_2748,2,1025,9.98629,12,kudriavzevii
k141_5428,86,138512,81.3758,41794,lactis
k141_2750,0,3437,57.9163,496,paradoxus
k141_8117,67,109620,66.8357,17623,wickerhamii
k141_2752,7,10460,55.0175,1848,paradoxus
k141_2753,2,1038,11.2894,10,kudriavzevii
k141_981,14,22749,232.566,14497,cerevisiae
k141_128,7,10534,68.845,1869,paradoxus
k141_3697,50,101962,79.3392,18046,uvarum
k141_983,3,10273,86.2635,1747,paradoxus
k141_129,4,6663,186.203,2389,mikatae
k141_3698,3,2267,101.299,680,kluyveri
k141_984,4,2547,200.567,1225,castellii
k141_130,0,1566,52.5162,178,paradoxus
k141_132,1,3018,60.727,39,gossypii
k141_6327,40,50094,79.9522,15374,lactis
k141_10743,20,30645,80.5581,4389,uvarum
k141_8129,5,6740,65.4483,1403,paradoxus
k141_7209,19,20429,87.1353,6094,mikatae
k141_8137,2,1080,7.43011,40,kudriavzevii
k141_10745,2,6342,56.8627,1302,paradoxus
k141_8933,290,430189,71.3066,82129,wickerhamii
k141_10746,0,1329,179.74,1168,cerevisiae
k141_5430,15,26434,90.7006,8560,castellii
k141_8936,5,7442,229.392,5024,cerevisiae
k141_12569,105,201080,84.7659,38077,stipitis
k141_8141,1,1264,59.1329,221,paradoxus
k141_12571,1,1604,363.453,284,cerevisiae
k141_12572,3,3861,16.0493,54,kudriavzevii
k141_7215,1,1656,10.8944,28,kudriavzevii
k141_8142,7,6029,90.6139,934,mikatae
k141_2757,17,24826,85.0725,4241,uvarum
